id,name,height,weight,type,description,image,hp,attack,defense,special-attack,special-defense,speed
287,Slakoth,8,240,['Normal'],"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food.This Pokémon’s sole daily meal consists of just three leaves.",Slakoth.png,60,60,60,35,35,30
288,Vigoroth,14,465,['Normal'],VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute.This Pokémon’s stress level rises if it can’t be moving constantly.,Vigoroth.png,80,80,80,55,55,90
289,Slaking,20,1305,['Normal'],"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach.If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot.",Slaking.png,150,160,100,95,65,100
290,Nincada,5,55,"['Bug', 'Ground']",NINCADA lives underground for many years in complete darkness. This Pokémon absorbs nutrients fromthe roots of trees. It stays motionless as it waits for evolution.,Nincada.png,31,45,90,30,30,40
291,Ninjask,8,120,"['Bug', 'Flying']","NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard.For that reason, this Pokémon was long believed to be invisible.",Ninjask.png,61,90,45,50,50,160
292,Shedinja,8,12,"['Bug', 'Ghost']","SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell.It is believed that this Pokémon will steal the spirit of anyone peering into its hollow body from its back.",Shedinja.png,1,90,45,30,30,40
293,Whismur,6,163,['Normal'],"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention.However, if this Pokémon senses danger, it starts crying at an earsplitting volume.",Whismur.png,64,51,23,51,23,28
294,Loudred,10,405,['Normal'],LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes.This Pokémon’s round ears serve as loudspeakers.,Loudred.png,84,71,43,71,43,48
295,Exploud,15,840,['Normal'],"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this Pokémon violently inhales from theports on its body, it’s a sign that it is preparing to let loose a huge bellow.",Exploud.png,104,91,63,91,73,68
296,Makuhita,10,864,['Fighting'],"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down.Every time it gets back up, this Pokémon stores more energy in its body for evolving.",Makuhita.png,72,60,30,20,30,25
297,Hariyama,23,2538,['Fighting'],It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.,Hariyama.png,144,120,60,40,60,50
298,Azurill,2,20,"['Normal', 'Fairy']",A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.,Azurill.png,50,20,40,20,40,20
299,Nosepass,10,970,['Rock'],"NOSEPASS’s magnetic nose is always pointed to the north. If two of these Pokémon meet, they cannot turntheir faces to each other when they are close because their magnetic noses repel one another.",Nosepass.png,30,45,135,45,90,30
300,Skitty,6,110,['Normal'],SKITTY has the habit of becoming fascinated by moving objects and chasing them around.This Pokémon is known to chase after its own tail and become dizzy.,Skitty.png,50,45,45,35,35,50
301,Delcatty,11,326,['Normal'],"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace.Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.",Delcatty.png,70,65,65,55,55,90
302,Sableye,5,110,"['Dark', 'Ghost']","SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these Pokémon are thought tosteal the spirits of people when their eyes burn with a sinister glow in the darkness.",Sableye.png,50,75,75,65,65,50
303,Mawile,6,115,"['Steel', 'Fairy']","MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lullits foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws.",Mawile.png,50,85,85,55,55,50
304,Aron,4,600,"['Steel', 'Rock']","This Pokémon has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains.Occasionally, it causes major trouble by eating bridges and rails.",Aron.png,50,70,100,40,40,30
305,Lairon,9,1200,"['Steel', 'Rock']",LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated.This Pokémon makes its nest close to springs of delicious water.,Lairon.png,60,90,140,50,50,40
306,Aggron,21,3600,"['Steel', 'Rock']",AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment.This Pokémon vigilantly patrols its territory at all times.,Aggron.png,70,110,180,60,60,50
307,Meditite,6,112,"['Fighting', 'Psychic']","MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, thisPokémon always loses its concentration and focus. As a result, its training never ends.",Meditite.png,30,40,55,40,55,60
308,Medicham,13,315,"['Fighting', 'Psychic']","It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense.This Pokémon hides its presence by merging itself with fields and mountains.",Medicham.png,60,60,75,60,75,80
309,Electrike,6,152,['Electric'],ELECTRIKE stores electricity in its long body hair. This Pokémon stimulates its leg muscles with electric charges.These jolts of power give its legs explosive acceleration performance.,Electrike.png,40,45,40,65,40,65
310,Manectric,15,402,['Electric'],"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires.When it enters a battle, this Pokémon creates thunderclouds.",Manectric.png,70,75,60,105,60,105
311,Plusle,4,42,['Electric'],"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, thisPokémon shorts out its body to create the crackling noises of sparks to show its joy.",Plusle.png,60,50,40,85,75,95
312,Minun,4,42,['Electric'],MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in itsbody to create brilliant showers of sparks to cheer on its teammates.,Minun.png,60,40,50,75,85,95
313,Volbeat,7,177,['Bug'],"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity andflashing of its light. This Pokémon is attracted by the sweet aroma of ILLUMISE.",Volbeat.png,65,73,75,47,85,85
314,Illumise,6,177,['Bug'],"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.",Illumise.png,65,47,75,73,85,85
315,Roselia,3,20,"['Grass', 'Poison']",ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms.The aroma of this Pokémon brings serenity to living things.,Roselia.png,50,60,45,100,80,65
316,Gulpin,4,103,['Poison'],"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size.This Pokémon’s stomach contains a special fluid that digests anything.",Gulpin.png,70,43,53,43,53,40
317,Swalot,17,800,['Poison'],"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target.Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth.",Swalot.png,100,73,83,73,83,55
318,Carvanha,8,208,"['Water', 'Dark']",CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls.Many boats have been attacked and sunk by this Pokémon.,Carvanha.png,45,90,20,65,20,65
319,Sharpedo,18,888,"['Water', 'Dark']","Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediatelyif they snap off. Just one of these Pokémon can thoroughly tear apart a supertanker.",Sharpedo.png,70,120,40,95,40,95
320,Wailmer,20,1300,['Water'],WAILMER’s nostrils are located above its eyes. This playful Pokémon loves to startle people by forcefully snortingout seawater it stores inside its body out of its nostrils.,Wailmer.png,130,70,35,70,35,60
321,Wailord,145,3980,['Water'],"WAILORD is the largest of all identified Pokémon up to now. This giant Pokémon swims languorouslyin the vast open sea, eating massive amounts of food at once with its enormous mouth.",Wailord.png,170,90,45,90,45,60
322,Numel,7,240,"['Fire', 'Ground']","NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second.This Pokémon’s body is a seething cauldron of boiling magma.",Numel.png,60,60,40,65,45,35
323,Camerupt,19,2200,"['Fire', 'Ground']","CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body.Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma.",Camerupt.png,70,100,70,105,75,40
324,Torkoal,5,804,['Fire'],You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.,Torkoal.png,70,85,140,85,70,20
325,Spoink,7,306,['Psychic'],"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémoncannot afford to stop bouncing - if it stops, its heart will stop.",Spoink.png,60,25,35,70,80,60
326,Grumpig,9,715,['Psychic'],"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe.When this Pokémon uses its special power, its snorting breath grows labored.",Grumpig.png,80,45,65,90,110,80
327,Spinda,11,50,['Normal'],No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.,Spinda.png,60,60,60,60,60,60
328,Trapinch,7,150,['Ground'],"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This Pokémon patiently waits for prey to tumble down the pit.Its giant jaws have enough strength to crush even boulders.",Trapinch.png,45,100,45,45,45,10
329,Vibrava,11,153,"['Ground', 'Dragon']","To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate.This Pokémon’s ultrasonic waves are so powerful, they can bring on headaches in people.",Vibrava.png,50,70,50,50,50,70
330,Flygon,20,820,"['Ground', 'Dragon']","FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand,this Pokémon is always enveloped in a sandstorm while flying.",Flygon.png,80,100,80,80,80,100
331,Cacnea,4,513,['Grass'],"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey.When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down.",Cacnea.png,50,85,40,85,40,35
332,Cacturne,13,774,"['Grass', 'Dark']","During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun.This Pokémon becomes active at night when the temperature drops.",Cacturne.png,70,115,60,115,60,55
333,Swablu,4,12,"['Normal', 'Flying']",SWABLU has light and fluffy wings that are like cottony clouds. This Pokémon is not frightened of people.It lands on the heads of people and sits there like a cotton-fluff hat.,Swablu.png,45,40,60,40,75,50
334,Altaria,11,206,"['Dragon', 'Flying']","ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clearvoice, this Pokémon makes its listeners experience dreamy wonderment.",Altaria.png,75,70,90,70,105,80
335,Zangoose,13,403,['Normal'],Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body.This Pokémon adroitly dodges attacks with incredible agility.,Zangoose.png,73,115,60,60,60,90
336,Seviper,27,525,['Poison'],SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles.This Pokémon attacks using its sword- edged tail.,Seviper.png,73,100,60,100,60,65
337,Lunatone,10,1680,"['Rock', 'Psychic']","LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this Pokémoncame from space. However, no one has been able to prove this theory so far.",Lunatone.png,90,55,65,95,85,70
338,Solrock,12,1540,"['Rock', 'Psychic']","Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines.",Solrock.png,90,95,85,55,65,70
339,Barboach,4,19,"['Water', 'Ground']","BARBOACH’s sensitive whiskers serve as a superb radar system. This Pokémon hides in mud, leaving onlyits two whiskers exposed while it waits for prey to come along.",Barboach.png,50,48,43,46,41,60
340,Whiscash,9,236,"['Water', 'Ground']","WHISCASH is extremely territorial. Just one of these Pokémon will claim a large pond as its exclusive territory.If a foe approaches it, it thrashes about and triggers a massive earthquake.",Whiscash.png,110,78,73,76,71,60
341,Corphish,6,115,['Water'],Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.,Corphish.png,43,80,65,50,35,35
342,Crawdaunt,11,328,"['Water', 'Dark']","CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle.Other life-forms refuse to live in ponds inhabited by this Pokémon, making them desolate places.",Crawdaunt.png,63,120,85,90,55,55
343,Baltoy,5,215,"['Ground', 'Psychic']",BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this Pokémon living amongpeople were discovered in some ancient ruins.,Baltoy.png,40,40,55,40,70,55
344,Claydol,15,1080,"['Ground', 'Psychic']",CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray.This Pokémon moves about while levitating.,Claydol.png,60,70,105,70,120,75
345,Lileep,10,238,"['Rock', 'Grass']",LILEEP became extinct approximately a hundred million years ago. This ancient Pokémon attaches itselfto a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.,Lileep.png,66,41,77,61,87,23
346,Cradily,15,604,"['Rock', 'Grass']",CRADILY roams around the ocean floor in search of food. This Pokémon freely extends its tree trunk-like neck andcaptures unwary prey using its eight tentacles.,Cradily.png,86,81,97,81,107,43
347,Anorith,7,125,"['Rock', 'Bug']",ANORITH was regenerated from a prehistoric fossil. This primitive Pokémon once lived in warm seas.It grips its prey firmly between its two large claws.,Anorith.png,45,95,50,40,50,75
348,Armaldo,15,682,"['Rock', 'Bug']",ARMALDO’s tough armor makes all attacks bounce off. This Pokémon’s two enormous claws can be freely extendedor contracted. They have the power to punch right through a steel slab.,Armaldo.png,75,125,100,70,80,45
349,Feebas,6,74,['Water'],"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, thisPokémon is largely ignored. It is capable of living in both the sea and in rivers.",Feebas.png,20,15,20,10,55,80
350,Milotic,62,1620,['Water'],Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.,Milotic.png,95,60,79,100,125,81
351,Castform,3,8,['Normal'],CASTFORM’s appearance changes with the weather. This Pokémon gained the ability to usethe vast power of nature to protect its tiny body.,Castform.png,70,70,70,70,70,70
352,Kecleon,10,220,['Normal'],It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.,Kecleon.png,60,90,70,60,120,40
353,Shuppet,6,23,['Ghost'],"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings ofvengeance, this Pokémon will appear in a swarm and line up beneath the eaves of that person’s home.",Shuppet.png,44,75,35,63,33,45
354,Banette,11,125,['Ghost'],BANETTE generates energy for laying strong curses by sticking pins into its own body.This Pokémon was originally a pitiful plush doll that was thrown away.,Banette.png,64,115,65,83,63,65
355,Duskull,8,150,['Ghost'],"DUSKULL can pass through any wall no matter how thick it may be. Once this Pokémon chooses a target,it will doggedly pursue the intended victim until the break of dawn.",Duskull.png,20,40,90,30,90,25
356,Dusclops,16,306,['Ghost'],"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a blackhole. This Pokémon will absorb anything into its body, but nothing will ever come back out.",Dusclops.png,40,70,130,60,130,25
357,Tropius,20,1000,"['Grass', 'Flying']","The bunches of fruit around TROPIUS’s neck are very popular with children. This Pokémon loves fruit, and eats itcontinuously. Apparently, its love for fruit resulted in its own outgrowth of fruit.",Tropius.png,99,68,83,72,87,51
358,Chimecho,6,10,['Psychic'],"CHIMECHO makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its criesresult in ultrasonic waves that have the power to knock foes flying.",Chimecho.png,75,50,80,95,90,65
359,Absol,12,470,['Dark'],"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave.As a result, it came to be known as the disaster Pokémon.",Absol.png,65,130,60,75,60,75
360,Wynaut,6,140,['Psychic'],"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry.When angered, this Pokémon will be slapping the ground with its tail.",Wynaut.png,95,23,48,23,48,23
361,Snorunt,7,168,['Ice'],"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this Pokémonsteals away to live quietly among stalactites and stalagmites deep in caverns.",Snorunt.png,50,50,50,50,50,50
362,Glalie,15,2565,['Ice'],"GLALIE has a body made of rock, which it hardens with an armor of ice. This Pokémon has the ability to freezemoisture in the atmosphere into any shape it desires.",Glalie.png,80,80,80,80,80,80
363,Spheal,8,395,"['Ice', 'Water']","SPHEAL is much faster rolling than  walking to get around. When groups of this Pokémon eat, they all clap at onceto show their pleasure. Because of this, their mealtimes are noisy.",Spheal.png,70,40,50,55,50,25
364,Sealeo,11,876,"['Ice', 'Water']",SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time.This Pokémon occasionally entertains itself by balancing and rolling a SPHEAL on its nose.,Sealeo.png,90,60,70,75,70,45
365,Walrein,14,1506,"['Ice', 'Water']",It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.,Walrein.png,110,80,90,95,90,65
366,Clamperl,4,525,['Water'],CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey.A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.,Clamperl.png,35,64,85,74,55,32
367,Huntail,17,270,['Water'],HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea.This Pokémon’s eyes can see clearly even in the murky dark depths of the ocean.,Huntail.png,55,104,105,94,75,52
368,Gorebyss,18,226,['Water'],"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure ofwater at incredible depths. Because of this, this Pokémon’s body is unharmed by ordinary attacks.",Gorebyss.png,55,84,105,114,75,52
369,Relicanth,10,234,"['Water', 'Rock']",RELICANTH is a Pokémon species that existed for a hundred million years without ever changing its form.This ancient Pokémon feeds on microscopic organisms with its toothless mouth.,Relicanth.png,100,90,130,45,65,55
370,Luvdisc,6,87,['Water'],LUVDISC live in shallow seas in the tropics. This heart-shaped Pokémon earned its name by swimming afterloving couples it spotted in the ocean’s waves.,Luvdisc.png,43,30,55,40,65,97
371,Bagon,6,421,['Dragon'],"Dreaming of one day flying, it practices by leaping off cliffs every day.",Bagon.png,45,75,60,40,30,50
372,Shelgon,11,1105,['Dragon'],"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body.This Pokémon’s shell is extremely heavy, making its movements sluggish.",Shelgon.png,65,95,100,60,50,50
373,Salamence,15,1026,"['Dragon', 'Flying']","SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerfuldesire triggered a sudden mutation in this Pokémon’s cells, causing it to sprout its magnificent wings.",Salamence.png,95,135,80,110,80,100
374,Beldum,6,952,"['Steel', 'Psychic']","Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This Pokémon communicates withothers by sending controlled pulses of magnetism.",Beldum.png,40,55,80,35,60,30
375,Metang,12,2025,"['Steel', 'Psychic']","When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system.By linking its brains magnetically, this Pokémon generates strong psychokinetic power.",Metang.png,60,75,100,55,80,50
376,Metagross,16,5500,"['Steel', 'Psychic']","METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations fasterthan a supercomputer. This Pokémon can float in the air by tucking in its four legs.",Metagross.png,80,135,130,95,90,70
377,Regirock,17,2300,['Rock'],"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself.",Regirock.png,80,100,200,50,100,50
378,Regice,18,1750,['Ice'],"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire.This Pokémon controls frigid air of minus 328 degrees F.",Regice.png,80,50,100,100,200,50
379,Registeel,19,2050,['Steel'],REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow.No one has any idea what this Pokémon eats.,Registeel.png,80,75,150,75,150,50
380,Latias,14,400,"['Dragon', 'Psychic']","LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles thefeathers all over its body and cries shrilly to intimidate the foe.",Latias.png,80,80,90,110,130,110
381,Latios,20,600,"['Dragon', 'Psychic']",LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head.This Pokémon is intelligent and understands human speech.,Latios.png,80,90,80,130,110,110
382,Kyogre,45,3520,['Water'],KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours.This Pokémon saved people who were suffering from droughts.,Kyogre.png,100,100,90,150,140,90
383,Groudon,35,9500,['Ground'],GROUDON has long been described in  mythology as the Pokémon that raised lands and expanded continents.This Pokémon took to sleep after a cataclysmic battle with KYOGRE.,Groudon.png,100,150,140,100,90,90
384,Rayquaza,70,2065,"['Dragon', 'Flying']","RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground.This Pokémon appears to feed on water and particles in the atmosphere.",Rayquaza.png,105,150,90,150,90,95
385,Jirachi,3,11,"['Steel', 'Psychic']","A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens.If this Pokémon senses danger, it will fight without awakening.",Jirachi.png,100,100,100,100,100,100
386,Deoxys-normal,17,608,['Psychic'],The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS.The crystalline organ on this Pokémon’s chest appears to be its brain.,Deoxys-normal.png,50,150,50,150,50,150
387,Turtwig,4,102,['Grass'],"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",Turtwig.png,55,68,64,45,55,31
388,Grotle,11,970,['Grass'],It knows where pure water wells up. It carries fellow Pokémon there on its back.,Grotle.png,75,89,85,55,65,36
389,Torterra,22,3100,"['Grass', 'Ground']",Small Pokémon occasionally gather on its unmoving back to begin building their nests.,Torterra.png,95,109,105,75,85,56
390,Chimchar,5,62,['Fire'],It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,Chimchar.png,44,58,44,58,44,61
391,Monferno,9,220,"['Fire', 'Fighting']","To intimidate attackers, it stretches the fire on its tail to make itself appear bigger.",Monferno.png,64,78,52,78,52,81
392,Infernape,12,550,"['Fire', 'Fighting']",It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,Infernape.png,76,104,71,104,71,108
393,Piplup,4,52,['Water'],"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",Piplup.png,53,51,53,61,56,40
394,Prinplup,8,230,['Water'],"It lives alone, away from others. Apparently, every one of them believes it is the most important.",Prinplup.png,64,66,68,81,76,50
395,Empoleon,17,845,"['Water', 'Steel']",The three horns that extend from its beak attest to its power. The leader has the biggest horns.,Empoleon.png,84,86,88,111,101,60
396,Starly,3,20,"['Normal', 'Flying']","They flock in great numbers. Though small, they flap their wings with great power.",Starly.png,40,55,30,30,30,60
397,Staravia,6,155,"['Normal', 'Flying']",It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.,Staravia.png,55,75,50,40,40,80
398,Staraptor,12,249,"['Normal', 'Flying']",It has a savage nature. It will courageously challenge foes that are much larger.,Staraptor.png,85,120,70,50,60,100
399,Bidoof,5,200,['Normal'],"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",Bidoof.png,59,45,40,35,40,31
400,Bibarel,10,315,"['Normal', 'Water']",It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,Bibarel.png,79,85,60,55,60,71
401,Kricketot,3,22,['Bug'],"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone.",Kricketot.png,37,25,41,25,41,25
402,Kricketune,10,255,['Bug'],It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,Kricketune.png,77,85,51,55,51,65
403,Shinx,5,95,['Electric'],All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,Shinx.png,45,65,34,40,34,45
404,Luxio,9,305,['Electric'],Its claws loose electricity with enough amperage to cause fainting. They live in small groups.,Luxio.png,60,85,49,60,49,60
405,Luxray,14,420,['Electric'],It has eyes that can see through anything. It spots and captures prey hiding behind objects.,Luxray.png,80,120,79,95,79,70
406,Budew,2,12,"['Grass', 'Poison']","Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",Budew.png,40,30,35,50,70,55
407,Roserade,9,145,"['Grass', 'Poison']","It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms.",Roserade.png,60,70,65,125,105,90
408,Cranidos,9,315,['Rock'],It lived in jungles around 100 million years ago. Its skull is as hard as iron.,Cranidos.png,67,125,40,30,30,58
409,Rampardos,16,1025,['Rock'],Its powerful head butt has enough power to shatter even the most durable things upon impact.,Rampardos.png,97,165,60,65,50,58
410,Shieldon,5,570,"['Rock', 'Steel']",A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,Shieldon.png,30,42,118,42,88,30
411,Bastiodon,13,1495,"['Rock', 'Steel']",Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,Bastiodon.png,60,52,168,47,138,30
412,Burmy,2,34,['Bug'],"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",Burmy.png,40,29,45,29,45,36
413,Wormadam-plant,5,65,"['Bug', 'Grass']","When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed.",Wormadam-plant.png,60,59,85,79,105,36
414,Mothim,9,233,"['Bug', 'Flying']",It loves the honey of flowers and steals honey collected by COMBEE.,Mothim.png,70,94,50,94,50,66
415,Combee,3,55,"['Bug', 'Flying']",A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,Combee.png,30,30,42,30,42,70
416,Vespiquen,12,385,"['Bug', 'Flying']",Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.,Vespiquen.png,70,80,102,80,102,40
417,Pachirisu,4,39,['Electric'],It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,Pachirisu.png,60,45,70,45,90,95
418,Buizel,7,295,['Water'],It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,Buizel.png,55,65,35,60,30,85
419,Floatzel,11,335,['Water'],It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,Floatzel.png,85,105,55,85,50,115
420,Cherubi,4,33,['Grass'],"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty.",Cherubi.png,45,35,45,62,53,35
421,Cherrim,5,93,['Grass'],It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.,Cherrim.png,70,60,70,87,78,85
422,Shellos,3,63,['Water'],"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed.",Shellos.png,76,48,48,57,62,34
423,Gastrodon,9,299,"['Water', 'Ground']","It has a pliable body without any bones. If any part of its body is torn off, it grows right back.",Gastrodon.png,111,83,68,92,82,39
424,Ambipom,12,203,['Normal'],"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",Ambipom.png,75,100,66,60,66,115
425,Drifloon,4,12,"['Ghost', 'Flying']","A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons.",Drifloon.png,90,50,34,60,44,70
426,Drifblim,12,150,"['Ghost', 'Flying']","At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish.",Drifblim.png,150,80,44,90,54,80
427,Buneary,4,55,['Normal'],It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,Buneary.png,55,66,44,44,56,85
428,Lopunny,12,333,['Normal'],An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.,Lopunny.png,65,76,84,54,96,105
429,Mismagius,9,44,['Ghost'],Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.,Mismagius.png,60,60,60,105,105,105
431,Glameow,5,39,['Normal'],It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,Glameow.png,49,55,42,42,37,85
432,Purugly,10,438,['Normal'],It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.,Purugly.png,71,82,64,64,59,112
433,Chingling,2,6,['Psychic'],It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.,Chingling.png,45,30,50,65,50,45
434,Stunky,4,192,"['Poison', 'Dark']",It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,Stunky.png,63,63,47,41,41,74
435,Skuntank,10,380,"['Poison', 'Dark']",It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.,Skuntank.png,103,93,67,71,61,84
436,Bronzor,5,605,"['Steel', 'Psychic']",Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.,Bronzor.png,57,24,86,24,86,23
437,Bronzong,13,1870,"['Steel', 'Psychic']","One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.",Bronzong.png,67,89,116,79,116,33
438,Bonsly,5,150,['Rock'],It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.,Bonsly.png,50,80,95,10,45,10
